Product_id,Advert_id,Price,City_Name,Zone,City_code,Zone_code,Square_meters,Bed_rooms,Toilets,advert_url,today's_date
 3409258,4017003409258,1650000,barcelona,putget___farro, 1930008, 506,215,4,3,https://www.habitaclia.com/comprar-atico-con_vistas_panoramicas_de_toda_la_ciudad_y_amplia_terraza_putget_farro-barcelona-i4017003409258.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:22.773456
 4382117,4190004382117,615000,barcelona,gotic, 1930008, 102,204,5,5,https://www.habitaclia.com/comprar-piso-gotic-barcelona-i4190004382117.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:24.386990
 339,39032000000339,236000,barcelona,sants, 1930008, 307,55,2,1,https://www.habitaclia.com/comprar-piso-con_2_habitaciones_con_ascensor_y_aire_acondicionado_sants-barcelona-i39032000000339.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:25.842965
 3834496,9861003834496,170000,barcelona,raval, 1930008, 101,63,4,2,https://www.habitaclia.com/comprar-piso-luminoso_a_pocos_metros_de_las_ramblas_raval-barcelona-i9861003834496.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:27.441120
 330,27066000000330,230000,barcelona,sagrada_familia, 1930008, 202,63,2,1,https://www.habitaclia.com/comprar-piso-oportunidad_luminoso_zona_sagrada_familia_sagrada_familia-barcelona-i27066000000330.htm?pag=20&f=&geo=p&from=list&lo=55,2022-11-12 17:01:28.954157
 4257089,37307004257089,598250,barcelona,putget___farro, 1930008, 506,62,2,2,https://www.habitaclia.com/comprar-apartamento-obra_nueva_en_el_putxet_i_farro_putget_farro-barcelona-i37307004257089.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:30.464352
 4405713,3787004405713,577500,barcelona,sant_gervasi___galvany, 1930008, 505,114,3,2,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_con_ascensor_y_calefaccion_sant_gervasi_galvany-barcelona-i3787004405713.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:32.005412
 299,26061000000299,207000,barcelona,vila_de_gracia, 1930008, 604,52,3,1,https://www.habitaclia.com/comprar-piso-con_3_habitaciones_vila_de_gracia-barcelona-i26061000000299.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:33.569327
 3997111,5020003997111,536000,barcelona,dreta_de_l_eixample, 1930008, 203,122,4,2,https://www.habitaclia.com/comprar-piso-dreta_de_l_eixample-barcelona-i5020003997111.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:35.344927
 3064734,2129003064734,393000,barcelona,gotic, 1930008, 102,57,2,1,https://www.habitaclia.com/comprar-piso-en_venta_en_el_barri_gotic_gotic-barcelona-i2129003064734.htm?pag=21&f=&geo=p&from=list&lo=55,2022-11-12 17:01:36.960488
